,fueltype,enginetype,enginesize,horsepower,price
0,1,1,130,111,13495.0
1,1,1,130,111,16500.0
2,1,2,152,154,16500.0
3,1,3,109,102,13950.0
4,1,3,136,115,17450.0
5,1,3,136,110,15250.0
6,1,3,136,110,17710.0
7,1,3,136,110,18920.0
8,1,3,131,140,23875.0
9,1,3,131,160,17859.167
10,1,3,108,101,16430.0
11,1,3,108,101,16925.0
12,1,3,164,121,20970.0
13,1,3,164,121,21105.0
14,1,3,164,121,24565.0
15,1,3,209,182,30760.0
16,1,3,209,182,41315.0
17,1,3,209,182,36880.0
18,1,4,61,48,5151.0
19,1,3,90,70,6295.0
20,1,3,90,70,6575.0
21,1,3,90,68,5572.0
22,1,3,90,68,6377.0
23,1,3,98,102,7957.0
24,1,3,90,68,6229.0
25,1,3,90,68,6692.0
26,1,3,90,68,7609.0
27,1,3,98,102,8558.0
28,1,3,122,88,8921.0
29,1,3,156,145,12964.0
30,1,3,92,58,6479.0
31,1,3,92,76,6855.0
32,1,3,79,60,5399.0
33,1,3,92,76,6529.0
34,1,3,92,76,7129.0
35,1,3,92,76,7295.0
36,1,3,92,76,7295.0
37,1,3,110,86,7895.0
38,1,3,110,86,9095.0
39,1,3,110,86,8845.0
40,1,3,110,86,10295.0
41,1,3,110,101,12945.0
42,1,3,110,100,10345.0
43,1,3,111,78,6785.0
44,1,3,90,70,8916.5
45,1,3,90,70,8916.5
46,1,3,119,90,11048.0
47,1,1,258,176,32250.0
48,1,1,258,176,35550.0
49,1,2,326,262,36000.0
50,1,3,91,68,5195.0
51,1,3,91,68,6095.0
52,1,3,91,68,6795.0
53,1,3,91,68,6695.0
54,1,3,91,68,7395.0
55,1,5,70,101,10945.0
56,1,5,70,101,11845.0
57,1,5,70,101,13645.0
58,1,5,80,135,15645.0
59,1,3,122,84,8845.0
60,1,3,122,84,8495.0
61,1,3,122,84,10595.0
62,1,3,122,84,10245.0
63,2,3,122,64,10795.0
64,1,3,122,84,11245.0
65,1,3,140,120,18280.0
66,2,3,134,72,18344.0
67,2,3,183,123,25552.0
68,2,3,183,123,28248.0
69,2,3,183,123,28176.0
70,2,3,183,123,31600.0
71,1,2,234,155,34184.0
72,1,2,234,155,35056.0
73,1,2,308,184,40960.0
74,1,2,304,184,45400.0
75,1,3,140,175,16503.0
76,1,3,92,68,5389.0
77,1,3,92,68,6189.0
78,1,3,92,68,6669.0
79,1,3,98,102,7689.0
80,1,3,110,116,9959.0
81,1,3,122,88,8499.0
82,1,3,156,145,12629.0
83,1,3,156,145,14869.0
84,1,3,156,145,14489.0
85,1,3,122,88,6989.0
86,1,3,122,88,8189.0
87,1,3,110,116,9279.0
88,1,3,110,116,9279.0
89,1,3,97,69,5499.0
90,2,3,103,55,7099.0
91,1,3,97,69,6649.0
92,1,3,97,69,6849.0
93,1,3,97,69,7349.0
94,1,3,97,69,7299.0
95,1,3,97,69,7799.0
96,1,3,97,69,7499.0
97,1,3,97,69,7999.0
98,1,3,97,69,8249.0
99,1,3,120,97,8949.0
100,1,3,120,97,9549.0
101,1,2,181,152,13499.0
102,1,2,181,152,14399.0
103,1,2,181,152,13499.0
104,1,2,181,160,17199.0
105,1,2,181,200,19699.0
106,1,2,181,160,18399.0
107,1,4,120,97,11900.0
108,2,4,152,95,13200.0
109,1,4,120,97,12440.0
110,2,4,152,95,13860.0
111,1,4,120,95,15580.0
112,2,4,152,95,16900.0
113,1,4,120,95,16695.0
114,2,4,152,95,17075.0
115,1,4,120,97,16630.0
116,2,4,152,95,17950.0
117,1,4,134,142,18150.0
118,1,3,90,68,5572.0
119,1,3,98,102,7957.0
120,1,3,90,68,6229.0
121,1,3,90,68,6692.0
122,1,3,98,68,7609.0
123,1,3,122,88,8921.0
124,1,3,156,145,12764.0
125,1,3,151,143,22018.0
126,1,6,194,207,32528.0
127,1,6,194,207,34028.0
128,1,6,194,207,37028.0
129,1,7,203,288,31400.5
130,1,3,132,90,9295.0
131,1,3,132,90,9895.0
132,1,3,121,110,11850.0
133,1,3,121,110,12170.0
